Mode,Result,Map,Characters and Trophies,Battle Time,Rank,Trophy Change
soloShowdown,defeat,Acid Lakes,EDGAR (Trophies: 478) - PlayerID: #LVY29JR9G; EMZ (Trophies: 488) - PlayerID: #RRVVRR9JL; SURGE (Trophies: 514) - PlayerID: #PQ28QRRVP; EL PRIMO (Trophies: 478) - PlayerID: #2GJ2G20CYU; CHESTER (Trophies: 511) - PlayerID: #LU29U8Y9P; MEEPLE (Trophies: 475) - PlayerID: #2GQGLV9RQY; BROCK (Trophies: 531) - PlayerID: #2QQR8QC099; CROW (Trophies: 530) - PlayerID: #PQJRQQV; JESSIE (Trophies: 490) - PlayerID: #Q8RGQJG0V; JACKY (Trophies: 509) - PlayerID: #9QVJG00P,20250110T021804.000Z,,-3
soloShowdown,victory,Acid Lakes,EVE (Trophies: 515) - PlayerID: #Y2VG8VGUQ; MEEPLE (Trophies: 538) - PlayerID: #P8PYP0Q2J; PIPER (Trophies: 500) - PlayerID: #8L8P02VJ; 8-BIT (Trophies: 515) - PlayerID: #9VCP8QLJ0; EL PRIMO (Trophies: 512) - PlayerID: #U92YJUUR; JACKY (Trophies: 508) - PlayerID: #9QVJG00P; MEEPLE (Trophies: 518) - PlayerID: #PRJVC0R2Y; BIBI (Trophies: 508) - PlayerID: #9RG9VUUPC; COLT (Trophies: 502) - PlayerID: #RR09JURVQ; GRIFF (Trophies: 517) - PlayerID: #VR8RYPCJV,20250110T021649.000Z,,1
soloShowdown,victory,Acid Lakes,ROSA (Trophies: 73) - PlayerID: #YRQ89CLL0; MANDY (Trophies: 68) - PlayerID: #YRQ9908QJ; GUS (Trophies: 82) - PlayerID: #YRJ0P0GCJ; JACKY (Trophies: 73) - PlayerID: #YRG0C9J0P; NITA (Trophies: 81) - PlayerID: #YRYRCGV00; COLETTE (Trophies: 84) - PlayerID: #YRQG800CJ; GROM (Trophies: 79) - PlayerID: #YRL2JL8UP; MEEPLE (Trophies: 75) - PlayerID: #9QVJG00P; MORTIS (Trophies: 71) - PlayerID: #YRR8YP2JP; PENNY (Trophies: 77) - PlayerID: #YRQU2LJPP,20250110T004316.000Z,,1
soloShowdown,victory,Skull Creek,MEEPLE (Trophies: 60) - PlayerID: #9QVJG00P; CARL (Trophies: 60) - PlayerID: #YRQRQLYYJ; ROSA (Trophies: 54) - PlayerID: #YRRLVC2RJ; BARLEY (Trophies: 60) - PlayerID: #YRRJJYRQL; DRACO (Trophies: 59) - PlayerID: #YRGPVUGGP; PENNY (Trophies: 61) - PlayerID: #YRL9QU0L0; LOLA (Trophies: 67) - PlayerID: #YRG90JJ0U; JUJU (Trophies: 68) - PlayerID: #YRRGQ8RR8; NITA (Trophies: 67) - PlayerID: #YRL9GGJGU; SHADE (Trophies: 52) - PlayerID: #YRR8CPCRJ,20250109T170535.000Z,,15
soloShowdown,victory,Skull Creek,DYNAMIKE (Trophies: 56) - PlayerID: #YRGRQUPRL; MEEPLE (Trophies: 48) - PlayerID: #9QVJG00P; EL PRIMO (Trophies: 40) - PlayerID: #YRR2RLC2J; ASH (Trophies: 48) - PlayerID: #YRG9C9JQ8; EDGAR (Trophies: 40) - PlayerID: #YRJPUGJLG; POCO (Trophies: 56) - PlayerID: #YRJL229UG; MICO (Trophies: 48) - PlayerID: #YRRQ0LUCJ; SPIKE (Trophies: 40) - PlayerID: #YRRUPL8UP; PENNY (Trophies: 40) - PlayerID: #YRLUYQG0U; SHADE (Trophies: 48) - PlayerID: #YRQLCCJPU,20250109T170401.000Z,,12
soloShowdown,victory,Skull Creek,MEEPLE (Trophies: 35) - PlayerID: #9QVJG00P; HANK (Trophies: 40) - PlayerID: #YRGJQ9JRL; JACKY (Trophies: 32) - PlayerID: #YRQGPVJRL; NITA (Trophies: 48) - PlayerID: #YRG980L98; DYNAMIKE (Trophies: 32) - PlayerID: #YRLV09VRJ; ROSA (Trophies: 32) - PlayerID: #YRGRR8880; BULL (Trophies: 32) - PlayerID: #YRQ82CQUG; MICO (Trophies: 32) - PlayerID: #YRQ0RLY28; GALE (Trophies: 32) - PlayerID: #YRQ8Y80PU; JUJU (Trophies: 40) - PlayerID: #YRQR9JQ8U,20250109T170217.000Z,,13
soloShowdown,victory,Skull Creek,MEEPLE (Trophies: 23) - PlayerID: #9QVJG00P; MAISIE (Trophies: 16) - PlayerID: #YRLCQGLC8; EL PRIMO (Trophies: 32) - PlayerID: #YRJYY9YLP; JUJU (Trophies: 24) - PlayerID: #YRLV00880; COLT (Trophies: 24) - PlayerID: #YRL028YUG; NITA (Trophies: 24) - PlayerID: #YRRVP999L; POCO (Trophies: 24) - PlayerID: #YRYG8Y80P; SHADE (Trophies: 16) - PlayerID: #YRLV2GLPP; JESSIE (Trophies: 16) - PlayerID: #YRLJRCL9J; BERRY (Trophies: 16) - PlayerID: #YRRU28JC8,20250109T170011.000Z,,12
soloShowdown,victory,Skull Creek,MEEPLE (Trophies: 12) - PlayerID: #9QVJG00P; SHELLY (Trophies: 8) - PlayerID: #YRG82P228; EL PRIMO (Trophies: 8) - PlayerID: #YRG802LGP; POCO (Trophies: 8) - PlayerID: #YRQ92VQLU; JACKY (Trophies: 16) - PlayerID: #YRQY2YUJ0; PIPER (Trophies: 8) - PlayerID: #YRRQL0200; STU (Trophies: 16) - PlayerID: #YRYUVUVLU; MAISIE (Trophies: 16) - PlayerID: #YRQV20YR8; 8-BIT (Trophies: 16) - PlayerID: #YRLL028RL; RUFFS (Trophies: 8) - PlayerID: #YRJPUJC8U,20250109T165848.000Z,,11
soloShowdown,victory,Skull Creek,MEEPLE (Trophies: 2) - PlayerID: #9QVJG00P; BONNIE (Trophies: 8) - PlayerID: #YRGJVJCLP; EL PRIMO (Trophies: 8) - PlayerID: #YRRPGP0Q8; SHELLY (Trophies: 16) - PlayerID: #YRLGPG00P; 8-BIT (Trophies: 8) - PlayerID: #YRGCJ88YL; SQUEAK (Trophies: 0) - PlayerID: #YRL2VPRJP; RICO (Trophies: 0) - PlayerID: #YRR2QY0LG; POCO (Trophies: 0) - PlayerID: #YRGUGR00U; ANGELO (Trophies: 8) - PlayerID: #YRG2PCRJU; SHADE (Trophies: 16) - PlayerID: #YRRU0982L,20250109T165530.000Z,,10
soloShowdown,victory,Skull Creek,COLT (Trophies: 8) - PlayerID: #YRLC8JYPG; DYNAMIKE (Trophies: 0) - PlayerID: #YRLJVGJ0U; GRIFF (Trophies: 8) - PlayerID: #YRR0RLRR8; NITA (Trophies: 8) - PlayerID: #YRR0QYVY8; BERRY (Trophies: 0) - PlayerID: #YRR9CGG2L; MEEPLE (Trophies: 0) - PlayerID: #9QVJG00P; SHADE (Trophies: 8) - PlayerID: #YRR8GYGYL; MAX (Trophies: 0) - PlayerID: #YRYGYCR8U; JACKY (Trophies: 0) - PlayerID: #YRJ8JC9G0; BARLEY (Trophies: 8) - PlayerID: #YRLJLQUUP,20250109T165332.000Z,,2
